E. coli ATCC11775,P. aeruginosa PAO1,P. aeruginosa PA14,S. aureus ATCC12600,E. coli AIG221,E. coli AIG222,K. pneumoniae ATCC13883,A. baumannii ATCC19606,A. muciniphila ATCC BAA-835,B. fragilis ATCC25285,B. vulgatus ATCC8482,C. aerofaciens ATCC25986,C. scindens ATCC35704,B. thetaiotaomicron ATCC29148,B. thetaiotaomicron Complemmented,B. thetaiotaomicron Mutant,B. uniformis ATCC8492,B. eggerthi ATCC27754,C. spiroforme ATCC29900,P. distasonis ATCC8503,P. copri DSMZ18205,B. ovatus ATCC8483,E. rectale ATCC33656,C. symbiosum,R. obeum,R. torques,S. aureus (ATCC BAA-1556) - MRSA,vancomycin-resistant E. faecalis ATCC700802,vancomycin-resistant E. faecium ATCC700221,E. coli Nissle,Salmonella enterica ATCC 9150 (BEIRES NR-515),Salmonella enterica (BEIRES NR-170),Salmonella enterica ATCC 9150 (BEIRES NR-174),L. monocytogenes ATCC 19111 (BEIRES NR-106)
14.614247,9.662188,12.731036,41.28071,8.959631,11.542981,48.083862,7.0424814,7.1752343,77.116425,10.085451,8.680381,8.176013,54.85614,91.672134,66.84939,43.121346,40.344105,77.09693,45.83213,67.87015,84.544044,48.707222,255.07516,462.76166,321.85553,53.418976,95.58902,7.4456205,336.86237,4.4620767,222.41272,156.1802,10.158848
16.964657,9.840164,12.858385,43.249264,8.690195,11.4101715,53.955055,8.379982,8.509205,82.96441,8.173083,8.308079,7.533674,58.399677,96.79714,70.43753,47.406418,44.86605,84.39891,49.37626,71.64778,90.01222,50.26175,249.7333,495.54214,335.3493,55.315777,100.40517,7.0423346,352.30707,4.3802238,200.7489,157.24527,10.176445
9.679653,28.66568,36.115723,14.46398,10.064555,6.648722,18.667578,6.695967,8.740447,12.390562,5.0902314,8.278421,5.1924086,8.08398,28.104641,17.379541,3.8458896,6.056115,5.497098,12.279714,8.810142,14.673086,8.7007065,33.66492,118.95402,40.000275,13.272183,32.564526,5.3657956,245.69608,16.97237,128.59886,126.641235,24.514132
13.289125,7.6840124,12.575585,45.381386,13.354012,11.255567,91.470604,8.0102825,4.227701,87.99847,7.4975586,6.9599824,5.687284,72.214676,114.09371,73.50011,56.75123,49.51243,44.47007,59.849174,65.610016,104.16174,42.017174,335.90207,790.56036,374.5293,52.09607,85.71894,9.25296,639.9945,4.7676053,237.6099,275.79645,14.152674
7.571663,9.893666,16.067448,29.75028,5.710528,13.372627,14.627378,4.250376,4.323586,10.3167925,7.6633286,5.722941,2.3805137,6.3158607,31.033657,17.153128,2.3112655,4.0606933,11.60158,5.011492,7.9499817,16.497303,10.825285,82.5396,211.247,93.659134,29.526577,47.671135,7.889352,181.29863,12.12734,159.86203,145.72752,18.919928
13.553658,107.4222,109.94169,10.035579,16.197056,8.742401,24.875889,7.692836,15.18589,59.706207,19.422138,59.5159,88.187386,24.34935,49.606987,35.40992,4.4820604,13.531343,23.773388,31.374317,24.243572,43.184387,34.310196,103.03694,289.62964,134.47464,12.667986,49.11669,6.5832686,894.134,23.331078,496.6682,462.8736,38.615837
15.252355,8.151587,13.043554,53.608166,13.172803,13.664492,92.006996,12.239096,3.6422646,96.28999,8.273337,7.7656965,6.821112,75.59212,114.10559,82.126724,59.827583,53.934376,55.174244,63.567974,77.81777,110.273026,49.758953,314.05014,578.6449,373.9001,57.094917,95.39438,8.477134,447.93765,4.666788,153.1837,188.0999,12.393732
9.7142,13.725354,22.086227,32.95946,11.663887,10.856688,25.992737,3.545978,4.7233458,25.495806,5.6684914,8.55644,10.938917,16.212551,42.175568,26.563456,12.043301,11.549089,17.555641,16.070486,17.765236,32.711075,23.132788,132.06998,334.54602,136.20035,31.596659,47.83577,6.914016,506.27222,8.031755,148.11488,173.68446,16.555384
17.075241,10.631099,13.818182,40.513466,8.736679,11.623687,49.62878,8.143437,10.728508,67.39521,7.8469467,8.862225,7.9479194,48.126354,82.660034,58.86898,39.48029,36.663643,56.06192,40.58393,57.52831,72.46708,44.329365,231.75432,470.54263,336.07544,49.90249,92.02854,6.7035537,294.79694,4.959018,140.05894,138.16739,10.60422
9.33374,35.50921,44.693977,13.826399,8.518501,6.6084595,16.788593,3.8423119,18.52637,21.0653,6.112881,11.701761,3.658078,10.706975,33.42834,22.382593,5.4388847,7.4405785,13.685351,23.105839,12.118812,16.525969,10.059088,41.65542,214.0662,52.64939,17.56258,47.315834,6.3200884,162.94992,11.009678,124.68025,114.63334,14.75694
13.661038,8.175615,13.84684,41.36351,15.572902,12.511675,91.97006,7.358359,4.859575,88.51665,7.7670393,8.363028,6.7781854,70.41163,113.67586,75.49373,65.6454,56.103283,43.16612,67.40277,65.884186,100.85037,39.615273,326.4118,803.2506,357.4151,47.945225,78.61662,9.867883,709.9654,5.7790513,227.21672,272.27896,16.892529
13.938004,101.77318,99.46746,3.938804,24.537666,9.77624,21.873034,9.1424265,55.270332,44.07947,17.85875,23.766024,7.400628,25.63446,56.395985,39.422405,18.61539,21.303066,14.092792,64.09408,21.284723,32.856045,12.022455,49.729088,249.34721,82.765945,6.2001657,34.843452,7.2034388,460.74796,41.856625,387.68375,325.1375,49.075356
16.237303,8.886983,13.953113,56.065826,13.42361,13.287084,97.69159,11.7093525,4.5217476,96.77501,7.611056,7.339489,5.873948,76.062126,117.60819,81.854,58.493782,53.058647,60.795746,62.852856,75.4518,111.6542,48.31069,314.4672,631.49585,392.74323,60.80373,99.42003,9.680784,457.02338,4.490618,152.77725,180.60262,12.551279
16.27972,11.898027,14.0959425,47.872696,10.766353,12.978261,54.101124,6.6191344,10.915084,81.17694,15.102018,10.304487,10.905525,58.82775,93.9778,69.64737,41.660347,41.188637,75.85068,49.736935,66.977715,86.232254,47.617825,250.18454,472.4572,324.338,59.867104,91.78479,7.869035,438.4522,6.24137,273.2683,172.497,10.897833
15.064547,9.251753,14.261701,56.213173,12.660038,12.292645,92.02984,10.945658,4.3243456,96.54545,8.42874,7.7975082,6.7133904,74.8778,116.59721,80.79286,58.040276,51.50318,60.081635,62.980843,74.310036,110.59279,48.885704,301.44867,635.66565,367.149,61.462105,99.476,10.488279,450.37152,4.336383,149.53079,178.34178,12.388358
9.406992,14.325368,26.17418,25.423985,7.152841,9.697529,16.284794,5.0910263,4.4743233,11.151571,7.756842,7.619239,2.9327397,6.4813957,29.944134,17.33243,3.0115566,5.346279,11.049627,8.010397,8.38774,14.996689,10.512313,60.842083,191.35269,70.16805,26.483097,47.38607,9.757136,214.88924,12.5757265,159.41849,186.98198,20.147652
14.903473,10.943425,14.34671,39.54146,8.585523,11.332144,44.44145,6.680739,8.607696,57.365173,8.409157,9.16087,8.379637,40.7007,72.41301,51.57265,32.438732,30.31422,48.05087,34.599907,47.744408,63.283142,40.876728,222.14297,437.54898,287.74713,47.407074,85.89683,7.1938353,238.76065,5.087672,120.232544,120.62944,10.734958
16.191502,8.140298,13.101626,54.981384,13.94914,14.504578,96.411316,12.719127,3.7859807,97.75052,7.8587656,7.5852013,6.3794255,77.44309,116.12439,83.55455,59.622944,55.025734,55.803883,64.456406,78.87178,112.815025,49.84166,325.7936,583.365,396.43484,58.530334,96.950775,8.347299,474.33603,4.7990828,171.1979,197.98575,12.65243
13.860629,11.94018,18.646906,47.107876,14.544126,10.885086,79.91562,6.3553195,5.6667256,90.82641,9.174904,11.593561,7.059644,66.249146,108.85404,70.9025,55.529186,47.55871,45.05157,71.42833,59.58495,96.900375,39.338337,276.63858,830.4243,321.93216,56.87785,83.67952,12.098311,782.1981,5.3314743,221.75034,226.29475,16.254898
14.641966,51.087166,60.326347,9.6208725,18.587088,10.055105,25.009851,9.796737,45.232098,14.5281725,5.157658,8.160413,4.61857,9.779037,28.957235,20.211582,6.8259583,7.468446,8.79176,40.37813,6.7279077,10.5223465,3.7991402,6.050328,60.610554,8.074889,10.960733,34.74931,7.6702843,420.54053,21.20412,258.8875,210.34799,29.784082
20.012363,11.58883,14.706248,44.35685,11.053274,14.438757,66.98697,11.407371,8.143621,114.21895,9.722776,12.293739,10.968706,81.51477,114.08009,92.98613,67.738045,64.3343,99.19842,77.54747,101.3956,113.31661,66.1082,289.65512,499.35468,397.32068,61.03907,97.16541,7.91089,406.99625,4.7912736,171.93303,167.58397,10.755079
12.829771,8.948754,14.7514925,39.550575,14.704283,11.362627,86.19931,6.755461,5.2280464,92.58715,8.464933,8.719152,6.3786407,72.48021,117.69707,78.35214,70.520744,58.81176,46.973034,73.609695,68.39513,104.075966,40.326504,325.63242,800.6129,343.69836,47.629204,77.272804,9.840207,732.8142,5.3365197,218.34818,260.4713,15.815989
19.3225,11.406683,14.728533,42.383324,9.95946,12.943217,70.00037,11.089354,9.4282055,104.81128,8.725122,11.502522,8.386595,74.19805,110.284424,87.764725,63.808056,60.902092,82.71413,75.866806,91.51766,104.795555,56.94613,246.17984,435.048,368.73056,58.16097,97.11213,6.4616575,364.9168,4.376815,143.61586,144.63731,9.655695
14.8107605,10.786622,16.46506,57.019768,13.978264,11.587899,85.90724,7.607156,3.9514294,90.062195,9.460211,9.643658,8.325116,69.918915,109.54539,69.05342,47.253296,40.769344,41.126514,58.968517,59.562298,102.092964,41.38453,270.5062,800.61743,320.4936,63.471478,90.62379,12.693685,635.43365,4.8661613,237.4491,252.22415,14.765213
14.873779,7.502616,12.612338,44.326263,14.836675,12.896637,98.37845,9.088939,4.4244585,87.511826,6.532621,6.5528755,5.2094812,72.364716,112.67662,73.90782,56.672035,50.594334,46.97066,60.26192,67.2609,102.78904,42.93794,349.47467,797.56775,397.18597,51.41343,86.715225,8.650397,656.93024,5.3036184,248.99983,282.65308,15.188489
14.951263,10.52349,16.183146,51.306053,14.311778,12.757933,85.50193,9.423504,4.0570836,95.408005,8.282562,9.923176,7.0953507,70.16905,110.506065,79.16778,63.568962,55.84382,58.84862,70.13196,72.33174,103.55617,48.67547,286.26083,585.6123,341.3643,56.932335,91.08406,12.009503,548.8451,4.742599,130.64992,159.44237,13.37892
15.005017,14.14019,23.003424,52.312614,13.605211,14.748599,69.36824,12.723365,2.5953493,56.95038,9.473442,13.368967,11.015546,36.51937,67.02171,47.831036,22.31702,21.597736,32.74979,42.294655,38.770683,58.596973,38.68703,210.8298,407.99017,280.03467,46.796772,90.77843,11.951986,249.53793,11.988319,77.70082,90.218765,25.63713
19.133028,12.301065,15.009651,47.555912,9.297224,11.688752,69.281,10.92608,10.256341,101.51209,9.346935,11.582335,8.703306,70.93062,108.81236,83.50923,58.987335,57.460915,84.96791,71.66331,84.0367,101.369026,55.235332,245.67166,442.12622,370.91705,63.56895,100.75275,6.2057924,342.81027,4.5527887,115.6755,120.676315,9.655502
